                      PanelOLS Estimation Summary                      
Dep. Variable:   ,revenue         ,  R-squared:           ,0.0026      
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0061      
No. Observations:,510000          ,  R-squared (Within):  ,0.0026      
Date:            ,Tue, Jul 30 2019,  R-squared (Overall): ,0.0028      
Time:            ,11:17:03        ,  Log-likelihood       ,-2.313e+06  
Cov. Estimator:  ,Clustered       ,                       ,            
                 ,                ,  F-statistic:         ,32.812      
Entities:        ,17000           ,  P-value              ,0.0000      
Avg Obs:         ,30.000          ,  Distribution:        ,F(39,492961)
Min Obs:         ,30.000          ,                       ,            
Max Obs:         ,30.000          ,  F-statistic (robust):,1.629e+04   
                 ,                ,  P-value              ,0.0000      
Time periods:    ,30              ,  Distribution:        ,F(39,492961)
Avg Obs:         , 1.7e+04        ,                       ,            
Min Obs:         , 1.7e+04        ,                       ,            
Max Obs:         , 1.7e+04        ,                       ,            
                 ,                ,                       ,            
                                     Parameter Estimates                                     
                                        ,Parameter,Std. Err.,T-stat,P-value,Lower CI,Upper CI
C(time)[1]                              ,1.0964   ,0.1742   ,6.2930,0.0000 ,0.7549  ,1.4379  
C(time)[2]                              ,1.4409   ,0.1530   ,9.4159,0.0000 ,1.1410  ,1.7408  
C(time)[3]                              ,1.6137   ,0.1583   ,10.191,0.0000 ,1.3034  ,1.9241  
C(time)[4]                              ,1.4225   ,0.1462   ,9.7307,0.0000 ,1.1360  ,1.7090  
C(time)[5]                              ,1.5215   ,0.1642   ,9.2639,0.0000 ,1.1996  ,1.8434  
C(time)[6]                              ,1.3890   ,0.1578   ,8.8016,0.0000 ,1.0797  ,1.6983  
C(time)[7]                              ,1.0633   ,0.1540   ,6.9051,0.0000 ,0.7615  ,1.3651  
C(time)[8]                              ,1.5327   ,0.1958   ,7.8288,0.0000 ,1.1490  ,1.9164  
C(time)[9]                              ,1.8473   ,0.1828   ,10.103,0.0000 ,1.4889  ,2.2056  
C(time)[10]                             ,1.9574   ,0.1872   ,10.455,0.0000 ,1.5904  ,2.3243  
C(time)[11]                             ,1.6098   ,0.1904   ,8.4567,0.0000 ,1.2367  ,1.9829  
C(time)[12]                             ,1.2718   ,0.1771   ,7.1826,0.0000 ,0.9248  ,1.6189  
C(time)[13]                             ,1.2166   ,0.1869   ,6.5105,0.0000 ,0.8504  ,1.5829  
C(time)[14]                             ,0.9007   ,0.1756   ,5.1282,0.0000 ,0.5565  ,1.2450  
C(time)[15]                             ,1.5853   ,0.1968   ,8.0543,0.0000 ,1.1995  ,1.9711  
C(time)[16]                             ,1.9274   ,0.2125   ,9.0696,0.0000 ,1.5109  ,2.3439  
C(time)[17]                             ,1.7789   ,0.1763   ,10.091,0.0000 ,1.4333  ,2.1244  
C(time)[18]                             ,3.5651   ,0.3576   ,9.9690,0.0000 ,2.8641  ,4.2660  
C(time)[19]                             ,3.0747   ,0.2432   ,12.642,0.0000 ,2.5980  ,3.5514  
C(time)[20]                             ,2.6815   ,0.2296   ,11.678,0.0000 ,2.2315  ,3.1316  
C(time)[21]                             ,2.3835   ,0.2478   ,9.6194,0.0000 ,1.8979  ,2.8692  
C(time)[22]                             ,3.3688   ,0.3878   ,8.6863,0.0000 ,2.6086  ,4.1289  
C(time)[23]                             ,3.1081   ,0.2258   ,13.762,0.0000 ,2.6655  ,3.5508  
C(time)[24]                             ,2.7971   ,0.2685   ,10.417,0.0000 ,2.2709  ,3.3234  
C(time)[25]                             ,3.3614   ,0.2357   ,14.259,0.0000 ,2.8994  ,3.8235  
C(time)[26]                             ,3.6003   ,0.3218   ,11.188,0.0000 ,2.9696  ,4.2310  
C(time)[27]                             ,2.7420   ,0.2291   ,11.969,0.0000 ,2.2930  ,3.1911  
C(time)[28]                             ,2.4478   ,0.2425   ,10.095,0.0000 ,1.9726  ,2.9230  
C(time)[29]                             ,1.7817   ,0.2118   ,8.4118,0.0000 ,1.3665  ,2.1968  
C(time)[30]                             ,1.3830   ,0.2049   ,6.7485,0.0000 ,0.9814  ,1.7847  
offered_0b1e1539f2cc45b7b9fa7c272da2e1d7,0.7136   ,0.1893   ,3.7693,0.0002 ,0.3425  ,1.0846  
offered_2298d6c36e964ae4a3e7e9706d1fb8c2,2.5325   ,0.2018   ,12.547,0.0000 ,2.1369  ,2.9281  
offered_2906b810c7d4411798c6938adc9daaa5,1.6257   ,0.1978   ,8.2185,0.0000 ,1.2380  ,2.0134  
offered_3f207df678b143eea3cee63160fa8bed,0.7802   ,0.1694   ,4.6053,0.0000 ,0.4482  ,1.1122  
offered_4d5c57ea9a6940dd891ad53e9dbe8da0,1.5842   ,0.1987   ,7.9707,0.0000 ,1.1946  ,1.9737  
offered_5a8bc65990b245e5a138643cd4eb9837,0.8653   ,0.1539   ,5.6230,0.0000 ,0.5637  ,1.1669  
offered_9b98b8c7a33c4b65b9aebfe6a799e6d9,1.1698   ,0.1794   ,6.5221,0.0000 ,0.8182  ,1.5213  
offered_ae264e3637204a6fb9bb56bc8210ddfd,1.6787   ,0.1889   ,8.8858,0.0000 ,1.3084  ,2.0489  
offered_f19421c1d4aa40978ebb69ca19b0e20d,1.9545   ,0.2602   ,7.5116,0.0000 ,1.4445  ,2.4645  
offered_fafdcd668e3743c1bb461111dcafc2a4,3.1297   ,0.2071   ,15.109,0.0000 ,2.7237  ,3.5357  

F-test for Poolability: 1.4107
P-value: 0.0000
Distribution: F(16999,492961)

Included effects: Entity
